learning_rate,hidden_dim,num_layers,batch_size,validation_rmse
0.001,200,6,1024,0.4214
0.001,200,7,1024,0.4993
0.001,200,8,1024,0.9824
0.001,300,1,1024,0.2997
0.001,300,2,1024,0.3081
0.001,300,3,1024,0.3183
0.001,300,4,1024,0.3495
0.001,300,5,1024,0.6044
0.001,300,6,1024,0.3995
0.001,300,7,1024,0.4198
0.001,300,8,1024,0.4457
0.001,400,1,1024,0.3019
0.001,400,2,1024,0.3197
0.001,400,3,1024,0.3447
0.001,400,4,1024,0.3759
0.001,400,5,1024,0.4762
0.001,400,6,1024,0.4382
0.001,400,7,1024,0.4709
0.001,400,8,1024,0.4609
0.001,500,1,1024,0.3036
0.001,500,2,1024,0.3085
0.001,500,3,1024,0.3504
0.001,500,4,1024,0.4943
0.001,500,5,1024,0.4142
0.001,500,6,1024,0.4779
0.001,500,7,1024,0.8915
0.001,500,8,1024,0.5527
0.001,600,1,1024,0.3067
0.001,600,2,1024,0.3315
0.001,600,3,1024,0.3438
0.001,600,4,1024,0.3577
0.001,600,5,1024,0.4163
0.001,600,6,1024,0.4519
0.001,600,7,1024,0.352
0.001,600,8,1024,0.4063
0.001,700,1,1024,0.3068
0.001,700,2,1024,0.3364
0.001,700,3,1024,0.41
0.001,700,4,1024,0.3496
0.001,700,5,1024,0.561
0.001,700,6,1024,0.3703
0.001,700,7,1024,0.4072
0.001,700,8,1024,0.4499
0.001,800,1,1024,0.3088
0.001,800,2,1024,0.3295
0.001,800,3,1024,0.3292
0.001,800,4,1024,0.4693
0.001,800,5,1024,0.5835
0.001,800,6,1024,0.4077
0.001,800,7,1024,0.4304
0.001,800,8,1024,0.4437
